Data,Investimento,GMV,ROAS,Visitas,CPV,Tx. Conv,CPC,TKM,CPA,Pedidos,Cliques,Impr.,CTR
22/05/2026,22.326,237.430,"10,6",36.747,"R$ 0,61","0,58%","0,43",791,"74,42",300,51.769,1.838.326,"2,82%"
23/05/2026,23.707,253.395,"10,7",29.280,"R$ 0,81","0,65%","0,53",877,"82,03",289,44.550,2.020.395,"2,21%"
24/05/2026,14.914,184.149,"12,3",21.778,"R$ 0,68","0,74%","0,44",728,"58,95",253,33.961,1.718.705,"1,98%"
25/05/2026,25.215,322.457,"12,8",63.311,"R$ 0,40","0,45%","0,27",762,"59,61",423,93.160,2.916.150,"3,19%"
26/05/2026,21.649,318.587,"14,7",57.571,"R$ 0,38","0,46%","0,26",852,"57,88",374,81.724,2.491.442,"3,28%"
27/05/2026,31.078,342.696,11,68.859,"R$ 0,45","0,49%","0,31",697,"63,17",492,100.151,3.408.108,"2,94%"
28/05/2026,28.286,362.449,"12,8",63.438,"R$ 0,45","0,49%","0,31",809,"63,14",448,92.071,2.935.058,"3,14%"
29/05/2026,17.159,242.677,"14,1",53.085,"R$ 0,32","0,46%","0,23",703,"49,74",345,75.707,2.100.890,"3,60%"
30/05/2026,12.393,187.924,"15,2",26.872,"R$ 0,46","0,68%","0,32",715,"47,12",263,38.740,1.266.487,"3,06%"
31/05/2026,9.381,136.432,"14,5",13.133,"R$ 0,71","1,02%","0,47",672,"46,21",203,19.952,892.961,"2,23%"
01/06/2026,18.066,261.299,"14,5",54.043,"R$ 0,33","0,37%","0,22",865,"59,82",302,81.457,1.961.024,"4,15%"
02/06/2026,16.529,210.554,"12,7",48.190,"R$ 0,34","0,41%","0,24",741,"58,2",284,69.686,1.686.109,"4,13%"
03/06/2026,16.851,241.682,"14,3",50.743,"R$ 0,33","0,42%","0,23",790,"55,07",306,73.548,1.775.340,"4,14%"
04/06/2026,11.798,183.373,"15,5",19.177,"R$ 0,62","0,79%","0,41",797,"51,29",230,29.109,1.089.624,"2,67%"
05/06/2026,19.489,212.274,"10,9",55.693,"R$ 0,35","0,38%","0,24",685,"62,87",310,82.570,2.189.464,"3,77%"
06/06/2026,23.646,211.012,"8,9",37.767,"R$ 0,63","0,54%","0,41",678,"76,03",311,57.137,2.109.199,"2,71%"
07/06/2026,25.283,220.251,"8,7",24.029,"R$ 1,05","0,88%","0,66",654,"75,02",337,38.323,1.787.310,"2,14%"
08/06/2026,24.478,231.636,"9,5",60.957,"R$ 0,40","0,39%","0,28",675,"71,37",343,88.247,2.243.715,"3,93%"
09/06/2026,17.158,169.957,"9,9",24.457,"R$ 0,70","0,58%","0,48",821,"82,89",207,35.385,1.057.085,"3,35%"
10/06/2026,16.363,187.919,"11,5",10.554,"R$ 1,55","1,13%","1,02",1.044,"90,9",180,15.971,666.415,"2,40%"
11/06/2026,9.828,120.654,"12,3",7.819,"R$ 1,26","1,05%","0,85",997,"81,22",121,11.559,473.547,"2,44%"
12/06/2026,9.070,108.750,12,9.930,"R$ 0,91","0,81%","0,64",946,"78,87",115,14.221,515.284,"2,76%"
13/06/2026,8.596,77.130,9,8.344,"R$ 1,03","0,75%","0,7",838,"93,44",92,12.286,480.711,"2,56%"
14/06/2026,10.043,97.647,"9,7",7.785,"R$ 1,29","0,82%","0,8",948,"97,5",103,12.553,497.670,"2,52%"
15/06/2026,12.376,157.919,"12,8",10.163,"R$ 1,22","1,09%","0,79",918,"71,95",172,15.712,620.301,"2,53%"
16/06/2026,11.361,120.125,"10,6",9.024,"R$ 1,26","0,85%","0,79",977,"92,36",123,14.442,608.986,"2,37%"
17/06/2026,14.557,111.118,"7,6",11.479,"R$ 1,27","0,52%","0,78",1.157,"151,64",96,18.613,729.945,"2,55%"
18/06/2026,13.959,145.879,"10,5",11.182,"R$ 1,25","0,78%","0,75",1.013,"96,94",144,18.510,707.629,"2,62%"
19/06/2026,17.866,142.447,8,14.359,"R$ 1,24","0,64%","0,76",956,"119,91",149,23.410,880.642,"2,66%"
20/06/2026,12.593,112.236,"8,9",12.766,"R$ 0,99","0,53%","0,61",1.030,"115,53",109,20.660,777.410,"2,66%"
21/06/2026,11.737,97.594,"8,3",12.780,"R$ 0,92","0,47%","0,55",976,"117,37",100,21.230,755.619,"2,81%"
22/06/2026,26.447,217.694,"8,2",20.345,"R$ 1,30","0,65%","0,78",994,"120,76",219,33.847,1.345.324,"2,52%"
23/06/2026,22.582,178.592,"7,9",17.272,"R$ 1,31","0,47%","0,7",1.167,"147,59",153,32.382,1.208.544,"2,68%"
24/06/2026,18.114,127.227,7,13.162,"R$ 1,38","0,56%","0,78",986,"140,42",129,23.163,1.005.582,"2,30%"
25/06/2026,11.804,89.451,"7,6",10.969,"R$ 1,08","0,48%","0,62",983,"129,72",91,18.992,790.951,"2,40%"
26/06/2026,13.624,112.623,"8,3",13.016,"R$ 1,05","0,42%","0,57",1.126,"136,24",100,23.863,992.895,"2,40%"
27/06/2026,11.583,120.540,"10,4",12.077,"R$ 0,96","0,50%","0,55",1.148,"110,31",105,21.091,897.307,"2,35%"
28/06/2026,8.806,64.526,"7,3",10.404,"R$ 0,85","0,37%","0,5",978,"133,42",66,17.638,734.812,"2,40%"